sut_name	repeat	status	gen_rc	raw_rc	final_rc	cov_rc	mut_rc	line	branch	mutation
Mbpp_2	1	ok	0	0	0	0	0	100.0	100.0	100.0
Mbpp_2	2	ok	0	0	0	0	0	100.0	100.0	100.0
Mbpp_2	3	ok	0	0	0	0	0	100.0	100.0	100.0
Mbpp_2	4	ok	0	0	0	0	0	100.0	100.0	100.0
Mbpp_2	5	ok	0	0	0	0	0	100.0	100.0	100.0
Mbpp_3	1	ok	0	1	0	0	0	100.0	100.0	100.0
Mbpp_3	2	ok	0	1	0	0	0	100.0	100.0	100.0
Mbpp_3	3	ok	0	1	0	0	0	100.0	100.0	100.0
Mbpp_3	4	ok	0	1	0	0	0	100.0	100.0	100.0
Mbpp_3	5	ok	0	1	0	0	0	100.0	100.0	100.0
Mbpp_4	1	ok	0	0	0	0	0	100.0	100.0	100.0
Mbpp_4	2	ok	0	0	0	0	0	100.0	100.0	100.0
Mbpp_4	3	ok	0	0	0	0	0	100.0	100.0	100.0
Mbpp_4	4	ok	0	1	0	0	0	100.0	100.0	100.0
Mbpp_4	5	ok	0	0	0	0	0	100.0	100.0	100.0
Mbpp_6	1	ok	0	1	0	0	0	100.0	100.0	100.0
Mbpp_6	2	ok	0	1	0	0	0	100.0	100.0	100.0
Mbpp_6	3	ok	0	1	0	0	0	100.0	100.0	100.0
Mbpp_6	4	ok	0	1	0	0	0	100.0	100.0	100.0
Mbpp_6	5	ok	0	1	0	0	0	100.0	100.0	100.0
Mbpp_7	1	ok	0	0	0	0	0	100.0	100.0	100.0
Mbpp_7	2	ok	0	0	0	0	0	100.0	100.0	100.0
Mbpp_7	3	ok	0	0	0	0	0	100.0	100.0	100.0
Mbpp_7	4	ok	0	0	0	0	0	100.0	100.0	100.0
Mbpp_7	5	ok	0	0	0	0	0	100.0	100.0	100.0
Mbpp_8	1	ok	0	0	0	0	0	100.0	100.0	100.0
Mbpp_8	2	ok	0	0	0	0	0	100.0	100.0	100.0
Mbpp_8	3	ok	0	0	0	0	0	100.0	100.0	100.0
Mbpp_8	4	ok	0	0	0	0	0	100.0	100.0	100.0
Mbpp_8	5	ok	0	0	0	0	0	100.0	100.0	100.0
Mbpp_9	1	ok	0	0	0	0	0	85.71	75.0	76.92
Mbpp_9	2	ok	0	0	0	0	0	85.71	75.0	76.92
Mbpp_9	3	ok	0	0	0	0	0	85.71	75.0	76.92
Mbpp_9	4	ok	0	0	0	0	0	85.71	75.0	76.92
Mbpp_9	5	ok	0	0	0	0	0	85.71	75.0	76.92
Mbpp_11	1	ok	0	1	0	0	0	100.0	100.0	100.0
Mbpp_11	2	ok	0	1	0	0	0	100.0	100.0	100.0
Mbpp_11	3	ok	0	0	0	0	0	100.0	100.0	100.0
Mbpp_11	4	ok	0	1	0	0	0	100.0	100.0	81.82
Mbpp_11	5	ok	0	1	0	0	0	100.0	100.0	100.0
Mbpp_12	1	ok	0	0	0	0	0	100.0	100.0	100.0
Mbpp_12	2	ok	0	0	0	0	0	100.0	100.0	60.0
Mbpp_12	3	ok	0	0	0	0	0	100.0	100.0	100.0
Mbpp_12	4	ok	0	0	0	0	0	100.0	100.0	60.0
