account	planned_run_id	sut_id	target_module	planned_rep	source	status	generation_output_nonempty	generation_attempts	generation_empty_attempts	pytest_raw_exit_code	coverage_exit_code	mutmut_exit_code	mutmut_results_exit_code	line_pct	branch_pct	mutation_score_pct	line_pct_penalized	branch_pct_penalized	mutation_score_pct_penalized	mutation_available	source_status_json	source_run_dir	consolidated_run_dir	consolidated_status_json	replaced_old_status	replaced_old_status_json
account1	1	PySnooper_2f	pysnooper	1	original	mutation_no_checked_mutants	true	1	0	0	0	1	0	42.28	20.34		42.28	20.34	0.0	False	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/PySnooper_2f/run_0001/0001-1/metrics/status.json	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/PySnooper_2f/run_0001/0001-1	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_CONSOLIDATED_GPT55_BUGSINPY_80SLOTS_PREMUTATION_20260623_080030/account1/PySnooper_2f/run_0001/0001-1	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_CONSOLIDATED_GPT55_BUGSINPY_80SLOTS_PREMUTATION_20260623_080030/account1/PySnooper_2f/run_0001/0001-1/metrics/status.json		
account1	2	PySnooper_2f	pysnooper	2	original	mutation_no_checked_mutants	true	1	0	0	0	1	0	39.19	17.8		39.19	17.8	0.0	False	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/PySnooper_2f/run_0002/0001-1/metrics/status.json	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/PySnooper_2f/run_0002/0001-1	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_CONSOLIDATED_GPT55_BUGSINPY_80SLOTS_PREMUTATION_20260623_080030/account1/PySnooper_2f/run_0002/0001-1	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_CONSOLIDATED_GPT55_BUGSINPY_80SLOTS_PREMUTATION_20260623_080030/account1/PySnooper_2f/run_0002/0001-1/metrics/status.json		
account1	3	PySnooper_2f	pysnooper	3	original	mutation_no_checked_mutants	true	1	0	0	0	1	0	41.81	20.34		41.81	20.34	0.0	False	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/PySnooper_2f/run_0003/0001-1/metrics/status.json	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/PySnooper_2f/run_0003/0001-1	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_CONSOLIDATED_GPT55_BUGSINPY_80SLOTS_PREMUTATION_20260623_080030/account1/PySnooper_2f/run_0003/0001-1	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_CONSOLIDATED_GPT55_BUGSINPY_80SLOTS_PREMUTATION_20260623_080030/account1/PySnooper_2f/run_0003/0001-1/metrics/status.json		
account1	4	PySnooper_2f	pysnooper	4	original	mutation_no_checked_mutants	true	1	0	0	0	1	0	39.19	17.8		39.19	17.8	0.0	False	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/PySnooper_2f/run_0004/0001-1/metrics/status.json	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/PySnooper_2f/run_0004/0001-1	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_CONSOLIDATED_GPT55_BUGSINPY_80SLOTS_PREMUTATION_20260623_080030/account1/PySnooper_2f/run_0004/0001-1	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_CONSOLIDATED_GPT55_BUGSINPY_80SLOTS_PREMUTATION_20260623_080030/account1/PySnooper_2f/run_0004/0001-1/metrics/status.json		
account1	5	PySnooper_2f	pysnooper	5	original	mutation_no_checked_mutants	true	1	0	0	0	1	0	42.04	20.34		42.04	20.34	0.0	False	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/PySnooper_2f/run_0005/0001-1/metrics/status.json	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/PySnooper_2f/run_0005/0001-1	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_CONSOLIDATED_GPT55_BUGSINPY_80SLOTS_PREMUTATION_20260623_080030/account1/PySnooper_2f/run_0005/0001-1	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_CONSOLIDATED_GPT55_BUGSINPY_80SLOTS_PREMUTATION_20260623_080030/account1/PySnooper_2f/run_0005/0001-1/metrics/status.json		
account1	6	ansible_17f	ansible.utils.unicode	1	original	ok	true	1	0	0	0	1	0	63.46	37.5	0.0	63.46	37.5	0.0	True	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/ansible_17f/run_0006/0001-1/metrics/status.json	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/ansible_17f/run_0006/0001-1	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_CONSOLIDATED_GPT55_BUGSINPY_80SLOTS_PREMUTATION_20260623_080030/account1/ansible_17f/run_0006/0001-1	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_CONSOLIDATED_GPT55_BUGSINPY_80SLOTS_PREMUTATION_20260623_080030/account1/ansible_17f/run_0006/0001-1/metrics/status.json		
account1	7	ansible_17f	ansible.utils.unicode	2	original	pytest_raw_fail	true	1	0	1							0.0	0.0	0.0		/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/ansible_17f/run_0007/0001-1/metrics/status.json	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/ansible_17f/run_0007/0001-1	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_CONSOLIDATED_GPT55_BUGSINPY_80SLOTS_PREMUTATION_20260623_080030/account1/ansible_17f/run_0007/0001-1	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_CONSOLIDATED_GPT55_BUGSINPY_80SLOTS_PREMUTATION_20260623_080030/account1/ansible_17f/run_0007/0001-1/metrics/status.json		
account1	8	ansible_17f	ansible.utils.unicode	3	original	pytest_raw_fail	true	1	0	1							0.0	0.0	0.0		/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/ansible_17f/run_0008/0001-1/metrics/status.json	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/ansible_17f/run_0008/0001-1	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_CONSOLIDATED_GPT55_BUGSINPY_80SLOTS_PREMUTATION_20260623_080030/account1/ansible_17f/run_0008/0001-1	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_CONSOLIDATED_GPT55_BUGSINPY_80SLOTS_PREMUTATION_20260623_080030/account1/ansible_17f/run_0008/0001-1/metrics/status.json		
account1	9	ansible_17f	ansible.utils.unicode	4	original	pytest_raw_fail	true	1	0	1							0.0	0.0	0.0		/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/ansible_17f/run_0009/0001-1/metrics/status.json	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/ansible_17f/run_0009/0001-1	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_CONSOLIDATED_GPT55_BUGSINPY_80SLOTS_PREMUTATION_20260623_080030/account1/ansible_17f/run_0009/0001-1	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_CONSOLIDATED_GPT55_BUGSINPY_80SLOTS_PREMUTATION_20260623_080030/account1/ansible_17f/run_0009/0001-1/metrics/status.json		
account1	10	ansible_17f	ansible.utils.unicode	5	original	pytest_raw_fail	true	1	0	1							0.0	0.0	0.0		/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/ansible_17f/run_0010/0001-1/metrics/status.json	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/ansible_17f/run_0010/0001-1	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_CONSOLIDATED_GPT55_BUGSINPY_80SLOTS_PREMUTATION_20260623_080030/account1/ansible_17f/run_0010/0001-1	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_CONSOLIDATED_GPT55_BUGSINPY_80SLOTS_PREMUTATION_20260623_080030/account1/ansible_17f/run_0010/0001-1/metrics/status.json		
