mtime	size_bytes	sha256	path
2026-05-04 10:38:07.000000000 +0100	7608	b6ad04b1bba7514e946245a6d667574f0b002c14a3b56ddb4c08930950eb5dfa	/home/jpaiva/projetos/bugsinpy_gpt4o/tools/audit_bugsinpy_mutation_effective_coverage.py
2026-05-04 10:56:01.000000000 +0100	7428	42ed931733849ff97cc30386a2f66080f03f56f8c124091ff9057517aaaef068	/home/jpaiva/projetos/bugsinpy_gpt4o/tools/probe_bugsinpy_mutmut_manual_mutants.py
2026-04-28 14:01:54.000000000 +0100	4475	935949b60f5022267f3f7a04baaed62cb3a17306697557c83c790cd33e29cd20	/home/jpaiva/projetos/bugsinpy_gpt4o/tools/reparse_bugsinpy_mutation_counts.py
2026-04-28 10:00:02.000000000 +0100	10775	e733097c393178292eb05a41eba3a9ca79110f3802af737a808197bfcbfe421d	/home/jpaiva/projetos/bugsinpy_gpt4o/tools/run_bugsinpy_mutation.py
2026-05-04 10:32:37.000000000 +0100	19225	0dc3e8715dbda5a4417038dabde3f726bc7ad99fb1601646def8d66c783c6424	/home/jpaiva/projetos/bugsinpy_gpt4o/tools/run_bugsinpy_mutation_flat.py
2026-05-05 08:51:02.000000000 +0100	10883	ce36b13e2a91113f8b0dcf9cbde8385a326a0da0e7542c5e8a00703c9b262b94	/home/jpaiva/projetos/bugsinpy_gpt4o/tools/run_bugsinpy_mutation_manual_fallback.py
2026-05-05 09:29:43.000000000 +0100	10532	06dcff705a413dcdd1cba152f263e843afcf05ab41462a3fc213c964b6b09496	/home/jpaiva/projetos/bugsinpy_gpt4o/tools/run_bugsinpy_mutation_manual_fallback_10x.py
2026-05-05 09:40:51.000000000 +0100	9905	927de9b4d41d3d1fac6d4f6763b474673d112ef2ac5f7ca9d5eb630fc31942a9	/home/jpaiva/projetos/bugsinpy_gpt4o/tools/run_bugsinpy_mutation_manual_fallback_10y.py
2026-05-07 09:04:56.000000000 +0100	10582	7c3759e5e2e54f9896ba0e9f88b167757cde03352e2d39aaba1973225615a21e	/home/jpaiva/projetos/bugsinpy_gpt4o/tools/run_bugsinpy_mutation_manual_fallback_10z.py
2026-04-28 10:12:23.000000000 +0100	12785	dab02427a2383d3a50fc7540fdc4002c31dc9ba9c86fe9788291d3b80ed37222	/home/jpaiva/projetos/bugsinpy_gpt4o/tools/run_bugsinpy_mutation_relpath.py
