dataset,group,approach,expected_reps,rows_found,exec_ok_reps,executable_suites_pct,line_coverage_pct,branch_coverage_pct,mutation_score_pct,line_metric_reps,branch_metric_reps,mutation_metric_reps
MBPP+,Non-AI,Pynguin,1890,1890,1810,95.76719576719577,95.09870899470897,95.18266137566141,57.56613756613756,1809,1809,1775
MBPP+,IAEdu,GPT-4o,1890,1890,1890,100.0,99.45220634920632,99.50113756613756,92.04114285714296,1890,1890,1890
MBPP+,IAEdu,GPT-5.5,1890,1890,1890,100.0,99.21134920634918,99.08636507936508,94.46384126984135,1890,1890,1890
MBPP+,IAEdu,Claude Opus 4.7,1890,1890,1890,100.0,99.83056084656081,99.67530687830688,94.30384656084662,1890,1890,1890
MBPP+,Cluster,cluster-max-codellama-7b-instruct-ctx16k,1890,1890,1890,100.0,51.01718148148148,51.842703703703705,44.83306409735448,1890,1890,1890
MBPP+,Cluster,cluster-safe-codestral-22b-ctx16k,1890,1890,1890,100.0,49.82841164021164,50.49483227513228,44.43328005767194,1890,1890,1890
MBPP+,Cluster,cluster-safe-deepseek-coder-v2-16b-ctx16k,1890,1890,1890,100.0,95.08547142857147,95.86935978835979,86.33797776613766,1890,1890,1890
MBPP+,Cluster,cluster-safe-deepseek-v2-16b-ctx32k,1890,1890,1890,100.0,37.59962010582011,43.4163455026455,25.741190985714287,1890,1890,1890
MBPP+,Cluster,cluster-safe-qwen2.5-coder-14b-ctx32k,1890,1890,1890,100.0,97.68048148148144,97.96000000000001,89.2090026084658,1890,1890,1890
MBPP+,Cluster,cluster-safe-qwen3-coder-30b-official-ctx32k,1890,1890,1890,100.0,96.22593650793648,96.08744973544975,89.92702798571437,1890,1890,1890
MBPP+,Cluster,cluster-safe-qwen3.5-9b-ctx32k,1890,1890,1890,100.0,97.27591005291002,97.23068253968255,91.19683377354504,1890,1890,1890
