sut_name	total_reps	ok_reps	failed_reps	statuses_json	line_penalized_mean	branch_penalized_mean	mutation_penalized_mean	effective_test_functions_mean
001_python_bitcount	5	5	0	"{""ok"": 5}"	100.0	100.0	77.7778	5.0
002_python_breadth_first_search	5	5	0	"{""ok"": 5}"	96.55	85.71	71.4286	5.0
003_python_bucketsort	5	5	0	"{""ok"": 5}"	100.0	100.0	100.0	5.0
004_python_depth_first_search	5	5	0	"{""ok"": 5}"	92.31	75.0	76.6667	5.0
005_python_detect_cycle	5	5	0	"{""ok"": 5}"	100.0	100.0	70.9677	6.0
006_python_find_first_in_sorted	5	5	0	"{""ok"": 5}"	100.0	100.0	85.2174	9.0
007_python_find_in_sorted	5	5	0	"{""ok"": 5}"	100.0	100.0	100.0	10.0
008_python_flatten	5	5	0	"{""ok"": 5}"	100.0	100.0	100.0	5.0
009_python_gcd	5	5	0	"{""ok"": 5}"	100.0	100.0	100.0	4.4
010_python_get_factors	5	5	0	"{""ok"": 5}"	100.0	100.0	77.7778	5.0
011_python_hanoi	5	5	0	"{""ok"": 5}"	100.0	100.0	100.0	5.0
012_python_is_valid_parenthesization	5	5	0	"{""ok"": 5}"	100.0	100.0	100.0	9.0
013_python_kheapsort	5	5	0	"{""ok"": 5}"	97.5	95.0	88.5714	3.8
014_python_knapsack	5	5	0	"{""ok"": 5}"	100.0	100.0	89.375	9.2
015_python_kth	5	5	0	"{""ok"": 5}"	100.0	100.0	100.0	5.0
016_python_lcs_length	5	5	0	"{""ok"": 5}"	100.0	100.0	100.0	4.0
017_python_levenshtein	5	5	0	"{""ok"": 5}"	100.0	100.0	89.7436	6.0
018_python_lis	5	5	0	"{""ok"": 5}"	100.0	75.0	93.5484	5.0
019_python_longest_common_subsequence	5	5	0	"{""ok"": 5}"	100.0	100.0	90.3226	5.0
020_python_max_sublist_sum	5	5	0	"{""ok"": 5}"	100.0	100.0	100.0	6.0
021_python_mergesort	5	5	0	"{""ok"": 5}"	100.0	100.0	90.625	5.0
022_python_minimum_spanning_tree	5	5	0	"{""ok"": 5}"	100.0	100.0	100.0	5.0
023_python_next_palindrome	5	1	4	"{""generation_api_error"": 1, ""no_effective_tests_after_sanitization"": 3, ""ok"": 1}"	18.572	16.666	10.2564	0.2
024_python_next_permutation	5	5	0	"{""ok"": 5}"	100.0	75.0	91.4286	5.0
025_python_pascal	5	5	0	"{""ok"": 5}"	100.0	100.0	96.7742	5.0
026_python_possible_change	5	5	0	"{""ok"": 5}"	100.0	100.0	89.4737	5.0
027_python_powerset	5	5	0	"{""ok"": 5}"	100.0	100.0	100.0	5.0
028_python_quicksort	5	5	0	"{""ok"": 5}"	100.0	100.0	100.0	5.0
029_python_reverse_linked_list	5	5	0	"{""ok"": 5}"	100.0	100.0	96.6667	4.0
030_python_rpn_eval	5	5	0	"{""ok"": 5}"	100.0	100.0	100.0	6.0
031_python_shortest_path_length	5	5	0	"{""ok"": 5}"	83.792	73.572	67.8633	5.0
032_python_shortest_path_lengths	5	5	0	"{""ok"": 5}"	88.568	84.0	76.7742	4.6
033_python_shortest_paths	5	5	0	"{""ok"": 5}"	100.0	100.0	86.6667	4.2
034_python_shunting_yard	5	5	0	"{""ok"": 5}"	100.0	100.0	76.8421	4.0
035_python_sieve	5	5	0	"{""ok"": 5}"	100.0	100.0	100.0	5.0
036_python_sqrt	5	5	0	"{""ok"": 5}"	100.0	100.0	53.8462	4.2
037_python_subsequences	5	5	0	"{""ok"": 5}"	85.71	75.0	27.2727	2.0
038_python_to_base	5	5	0	"{""ok"": 5}"	100.0	100.0	91.6667	5.0
039_python_topological_ordering	5	5	0	"{""ok"": 5}"	93.75	91.67	65.2174	4.2
040_python_wrap	5	5	0	"{""ok"": 5}"	95.714	85.0	51.5152	6.4
